sample,condition,group_family,replicate,include_initial_dge
CONTROL_NONE_1,control_none,control,1,no
CONTROL_NONE_2,control_none,control,2,no
CONTROL_NONE_3,control_none,control,3,no
CONTROL_SCRAMBLE_1,control_scramble,control,1,yes
CONTROL_SCRAMBLE_2,control_scramble,control,2,yes
CONTROL_SCRAMBLE_3,control_scramble,control,3,yes
CONTROL_SCRAMBLE_4,control_scramble,control,4,yes
CONTROL_SCRAMBLE_5,control_scramble,control,5,yes
CONTROL_SCRAMBLE_6,control_scramble,control,6,yes
CONTROL_FLUORESCENT_1,control_fluorescent,control,1,no
CONTROL_FLUORESCENT_2,control_fluorescent,control,2,no
CONTROL_FLUORESCENT_3,control_fluorescent,control,3,no
TDP43KD_1,tdp43kd,knockdown,1,yes
TDP43KD_2,tdp43kd,knockdown,2,yes
TDP43KD_3,tdp43kd,knockdown,3,yes
TDP43KD_4,tdp43kd,knockdown,4,yes
TDP43KD_5,tdp43kd,knockdown,5,yes
TDP43KD_6,tdp43kd,knockdown,6,yes
