sample,fastq_1,fastq_2,strandedness,seq_platform,seq_center,genome_bam,percent_mapped,transcriptome_bam
TDP43KD_5,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083880_1.fastq.gz,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083880_2.fastq.gz,unstranded,,,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/TDP43KD_5.sorted.bam,95.32,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/TDP43KD_5.Aligned.toTranscriptome.out.bam
TDP43KD_6,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083881_1.fastq.gz,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083881_2.fastq.gz,unstranded,,,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/TDP43KD_6.sorted.bam,95.38,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/TDP43KD_6.Aligned.toTranscriptome.out.bam
TDP43KD_2,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083868_1.fastq.gz,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083868_2.fastq.gz,unstranded,,,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/TDP43KD_2.sorted.bam,95.03,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/TDP43KD_2.Aligned.toTranscriptome.out.bam
CONTROL_NONE_2,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083870_1.fastq.gz,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083870_2.fastq.gz,unstranded,,,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/CONTROL_NONE_2.sorted.bam,95.42,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/CONTROL_NONE_2.Aligned.toTranscriptome.out.bam
TDP43KD_3,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083874_1.fastq.gz,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083874_2.fastq.gz,unstranded,,,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/TDP43KD_3.sorted.bam,95.4,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/TDP43KD_3.Aligned.toTranscriptome.out.bam
TDP43KD_1,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083867_1.fastq.gz,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083867_2.fastq.gz,unstranded,,,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/TDP43KD_1.sorted.bam,95.04,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/TDP43KD_1.Aligned.toTranscriptome.out.bam
CONTROL_NONE_3,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083876_1.fastq.gz,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083876_2.fastq.gz,unstranded,,,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/CONTROL_NONE_3.sorted.bam,95.24,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/CONTROL_NONE_3.Aligned.toTranscriptome.out.bam
CONTROL_SCRAMBLE_3,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083872_1.fastq.gz,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083872_2.fastq.gz,unstranded,,,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/CONTROL_SCRAMBLE_3.sorted.bam,95.27,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/CONTROL_SCRAMBLE_3.Aligned.toTranscriptome.out.bam
CONTROL_SCRAMBLE_2,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083866_1.fastq.gz,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083866_2.fastq.gz,unstranded,,,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/CONTROL_SCRAMBLE_2.sorted.bam,95.16,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/CONTROL_SCRAMBLE_2.Aligned.toTranscriptome.out.bam
TDP43KD_4,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083875_1.fastq.gz,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/fastq/SRR8083875_2.fastq.gz,unstranded,,,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/TDP43KD_4.sorted.bam,95.46,/cephfs/volumes/hpc_data_prj/bcn_whitema_rbp/aa755d17-dc54-4995-b145-bc6743ba86a5/Klim_TDP_LOF/out_20260318_133306/star_salmon/TDP43KD_4.Aligned.toTranscriptome.out.bam
