sample_id,dataset_id,condition,perturbation,cell_type,genotype,replicate_type,replicate_id,differentiation_batch,library_prep,read_layout,read_length,strandedness,reference_genome,annotation_version,notes
CONTROL_FLUORESCENT_1,klim2019_tdp43kd,control,fluorescent_control,human_iPSC_motor_neuron,NA,biological,1,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,fluorescent control sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
CONTROL_FLUORESCENT_2,klim2019_tdp43kd,control,fluorescent_control,human_iPSC_motor_neuron,NA,biological,2,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,fluorescent control sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
CONTROL_FLUORESCENT_3,klim2019_tdp43kd,control,fluorescent_control,human_iPSC_motor_neuron,NA,biological,3,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,fluorescent control sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
CONTROL_NONE_1,klim2019_tdp43kd,control,none,human_iPSC_motor_neuron,NA,biological,1,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,untreated control sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
CONTROL_NONE_2,klim2019_tdp43kd,control,none,human_iPSC_motor_neuron,NA,biological,2,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,untreated control sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
CONTROL_NONE_3,klim2019_tdp43kd,control,none,human_iPSC_motor_neuron,NA,biological,3,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,untreated control sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
CONTROL_SCRAMBLE_1,klim2019_tdp43kd,control,scramble_control,human_iPSC_motor_neuron,NA,biological,1,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,scramble control sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
CONTROL_SCRAMBLE_2,klim2019_tdp43kd,control,scramble_control,human_iPSC_motor_neuron,NA,biological,2,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,scramble control sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
CONTROL_SCRAMBLE_3,klim2019_tdp43kd,control,scramble_control,human_iPSC_motor_neuron,NA,biological,3,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,scramble control sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
CONTROL_SCRAMBLE_4,klim2019_tdp43kd,control,scramble_control,human_iPSC_motor_neuron,NA,biological,4,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,scramble control sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
CONTROL_SCRAMBLE_5,klim2019_tdp43kd,control,scramble_control,human_iPSC_motor_neuron,NA,biological,5,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,scramble control sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
CONTROL_SCRAMBLE_6,klim2019_tdp43kd,control,scramble_control,human_iPSC_motor_neuron,NA,biological,6,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,scramble control sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
TDP43KD_1,klim2019_tdp43kd,tdp43_knockdown,tdp43_knockdown,human_iPSC_motor_neuron,NA,biological,1,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,TDP-43 knockdown sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
TDP43KD_2,klim2019_tdp43kd,tdp43_knockdown,tdp43_knockdown,human_iPSC_motor_neuron,NA,biological,2,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,TDP-43 knockdown sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
TDP43KD_3,klim2019_tdp43kd,tdp43_knockdown,tdp43_knockdown,human_iPSC_motor_neuron,NA,biological,3,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,TDP-43 knockdown sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
TDP43KD_4,klim2019_tdp43kd,tdp43_knockdown,tdp43_knockdown,human_iPSC_motor_neuron,NA,biological,4,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,TDP-43 knockdown sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
TDP43KD_5,klim2019_tdp43kd,tdp43_knockdown,tdp43_knockdown,human_iPSC_motor_neuron,NA,biological,5,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,TDP-43 knockdown sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
TDP43KD_6,klim2019_tdp43kd,tdp43_knockdown,tdp43_knockdown,human_iPSC_motor_neuron,NA,biological,6,batch_unknown,TruSeq_RNA_kit_v2_polyA,paired,75,unstranded,GRCh38,GENCODE_v49,TDP-43 knockdown sample from Klim et al. 2019 development dataset; library prep described as Illumina TruSeq RNA kit v2
