sample,fastq_1,fastq_2,strandedness
CONTROL_FLUORESCENT_1,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_FLUORESCENT_1_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_FLUORESCENT_1_R2.fastq.gz,unstranded
CONTROL_FLUORESCENT_2,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_FLUORESCENT_2_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_FLUORESCENT_2_R2.fastq.gz,unstranded
CONTROL_FLUORESCENT_3,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_FLUORESCENT_3_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_FLUORESCENT_3_R2.fastq.gz,unstranded
CONTROL_NONE_1,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_NONE_1_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_NONE_1_R2.fastq.gz,unstranded
CONTROL_NONE_2,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_NONE_2_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_NONE_2_R2.fastq.gz,unstranded
CONTROL_NONE_3,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_NONE_3_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_NONE_3_R2.fastq.gz,unstranded
CONTROL_SCRAMBLE_1,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_SCRAMBLE_1_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_SCRAMBLE_1_R2.fastq.gz,unstranded
CONTROL_SCRAMBLE_2,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_SCRAMBLE_2_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_SCRAMBLE_2_R2.fastq.gz,unstranded
CONTROL_SCRAMBLE_3,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_SCRAMBLE_3_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_SCRAMBLE_3_R2.fastq.gz,unstranded
CONTROL_SCRAMBLE_4,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_SCRAMBLE_4_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_SCRAMBLE_4_R2.fastq.gz,unstranded
CONTROL_SCRAMBLE_5,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_SCRAMBLE_5_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_SCRAMBLE_5_R2.fastq.gz,unstranded
CONTROL_SCRAMBLE_6,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_SCRAMBLE_6_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/CONTROL_SCRAMBLE_6_R2.fastq.gz,unstranded
TDP43KD_1,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/TDP43KD_1_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/TDP43KD_1_R2.fastq.gz,unstranded
TDP43KD_2,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/TDP43KD_2_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/TDP43KD_2_R2.fastq.gz,unstranded
TDP43KD_3,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/TDP43KD_3_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/TDP43KD_3_R2.fastq.gz,unstranded
TDP43KD_4,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/TDP43KD_4_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/TDP43KD_4_R2.fastq.gz,unstranded
TDP43KD_5,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/TDP43KD_5_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/TDP43KD_5_R2.fastq.gz,unstranded
TDP43KD_6,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/TDP43KD_6_R1.fastq.gz,/scratch/prj/bcn_whitema_rbp/Klim_TDP_LOF/fastq/TDP43KD_6_R2.fastq.gz,unstranded
