task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	34/679513	32666852	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (CONTROL_NONE_3)	COMPLETED	0	2026-03-18 13:34:25.763	48.9s	32s	98.2%	76.5 MB	79.9 MB	1.8 GB	1.7 KB
9	22/45a52c	32666857	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (CONTROL_SCRAMBLE_4)	COMPLETED	0	2026-03-18 13:34:26.111	58.5s	41s	99.3%	76.7 MB	80 MB	2.7 GB	1.7 KB
11	67/bce2d1	32666862	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (CONTROL_SCRAMBLE_6)	COMPLETED	0	2026-03-18 13:34:26.361	1m 3s	43s	99.3%	76.5 MB	79.9 MB	2 GB	1.7 KB
10	7a/d38710	32666861	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (CONTROL_SCRAMBLE_5)	COMPLETED	0	2026-03-18 13:34:26.301	1m 9s	52s	98.7%	76.6 MB	80 MB	2.3 GB	1.7 KB
4	d0/9b2010	32666851	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (CONTROL_NONE_2)	COMPLETED	0	2026-03-18 13:34:25.703	1m 24s	1m 5s	99.5%	76.8 MB	80 MB	3.1 GB	1.7 KB
14	66/ab9a81	32666865	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (CONTROL_FLUORESCENT_3)	COMPLETED	0	2026-03-18 13:34:26.753	1m 28s	39s	99.1%	76.5 MB	80 MB	2.2 GB	1.7 KB
1	91/dd3716	32666848	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_GTF (gencode.v49.primary_assembly.annotation.gtf.gz)	COMPLETED	0	2026-03-18 13:34:25.472	1m 39s	14.2s	87.4%	5.2 MB	8.1 MB	89.3 MB	3.1 GB
2	c9/204dea	32666849	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_FASTA (GRCh38.primary_assembly.genome.fa.gz)	COMPLETED	0	2026-03-18 13:34:25.549	1m 44s	18.6s	92.5%	3.9 MB	8.1 MB	806.5 MB	2.9 GB
8	99/b197a5	32666859	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (CONTROL_SCRAMBLE_3)	COMPLETED	0	2026-03-18 13:34:26.206	1m 44s	1m 23s	99.6%	76.9 MB	80 MB	3.7 GB	1.7 KB
7	1c/5d81a4	32666855	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (CONTROL_SCRAMBLE_2)	COMPLETED	0	2026-03-18 13:34:25.999	1m 44s	1m 28s	99.5%	218.8 MB	222.1 MB	5.7 GB	1.7 KB
3	af/69cca8	32666850	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (CONTROL_NONE_1)	COMPLETED	0	2026-03-18 13:34:25.643	1m 54s	1m 38s	99.6%	76.9 MB	80.1 MB	4.9 GB	1.7 KB
20	fb/befffd	32666871	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TDP43KD_6)	COMPLETED	0	2026-03-18 13:34:27.105	1m 53s	31s	98.4%	74.8 MB	79.9 MB	2 GB	1.7 KB
19	e9/0b8709	32666870	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TDP43KD_5)	COMPLETED	0	2026-03-18 13:34:27.045	1m 58s	35s	99.1%	76.6 MB	79.9 MB	2.1 GB	1.7 KB
